segment_258|So drop the belly, inhale, look forward, cow pose, slow and steady to begin with here.|So drop the belly, inhale, look forward, cow pose, slow and steady to begin with here.
segment_259|And as you do this, really claw through the fingertips, take some of that|And as you do this, really claw through the fingertips, take some of that
segment_260|And just continuing here with your breath, letting go of the day thus far.|And just continuing here with your breath, letting go of the day thus far.
segment_261|As your friend, I would say, yeah, just really give yourself this time.|As your friend, I would say, yeah, just really give yourself this time.
segment_262|And after your last round of Cat-Cow, we'll bring the knees wide.|And after your last round of Cat-Cow, we'll bring the knees wide.
segment_263|Send the hips back and reach the fingertips forward.|Send the hips back and reach the fingertips forward.
segment_264|Lift up through the palms so that only your fingertips|Lift up through the palms so that only your fingertips
segment_265|And breathe here into the ribcage.|And breathe here into the ribcage.
segment_266|make it a little deeper, a little fuller, more expansive. Just give it a shot.|make it a little deeper, a little fuller, more expansive. Just give it a shot.
segment_267|Nice. And then let that go. Plant the palms. We'll lift the heart back up.|Nice. And then let that go. Plant the palms. We'll lift the heart back up.
segment_268|Peel the hips up high for Downward Facing Dog.|Peel the hips up high for Downward Facing Dog.
segment_269|Find what feels good here. Use this first downward dog as an opportunity to check in with your body.|Find what feels good here. Use this first downward dog as an opportunity to check in with your body.
segment_270|And perhaps allowing that breath to inspire.|And perhaps allowing that breath to inspire.
segment_271|Then we'll slowly begin to walk it up, crossing one foot in front of the other perhaps, all the way up to the top edge of your mat.|Then we'll slowly begin to walk it up, crossing one foot in front of the other perhaps, all the way up to the top edge of your mat.
segment_272|where we will bring the feet hip width apart knees slightly bent|where we will bring the feet hip width apart knees slightly bent
segment_273|And if it feels right in your body today, shaking the head a little yes.|And if it feels right in your body today, shaking the head a little yes.
segment_274|Then ground down through all four corners of the feet. Bend your knees generously. Active legs here as we slowly begin to roll up to standing together.|Then ground down through all four corners of the feet. Bend your knees generously. Active legs here as we slowly begin to roll up to standing together.
segment_275|Take a second to gently lift your heart space.|Take a second to gently lift your heart space.
segment_276|Think about this string pulling you up from the crown of the head.|Think about this string pulling you up from the crown of the head.
segment_277|this length from the crown of the head to the tip of the tailbone.|this length from the crown of the head to the tip of the tailbone.
segment_278|Then we'll take the awareness of this line into our flow.|Then we'll take the awareness of this line into our flow.
segment_279|As you inhale, squeeze the shoulders, lift the shoulders rather.|As you inhale, squeeze the shoulders, lift the shoulders rather.
segment_280|Soft knees, inhale, squeeze and lift the shoulders up to the ears.|Soft knees, inhale, squeeze and lift the shoulders up to the ears.
segment_281|And exhale, take them back and down one more time.|And exhale, take them back and down one more time.
segment_282|Exhale, release them down. On your next inhale,|Exhale, release them down. On your next inhale,
segment_283|Exhale, forward fold, bend the knees softly, fingertips come all the way down.|Exhale, forward fold, bend the knees softly, fingertips come all the way down.
segment_284|Your version of a flat back position, you can use blocks here.|Your version of a flat back position, you can use blocks here.
segment_285|on the shins or the thighs, we want to find that length.|on the shins or the thighs, we want to find that length.
segment_286|Fingertips come to the mat, we step the right foot back. Just the right foot, lower the right knee to the earth. And on your inhale, sweep the arms up and overhead as you breathe in.|Fingertips come to the mat, we step the right foot back. Just the right foot, lower the right knee to the earth. And on your inhale, sweep the arms up and overhead as you breathe in.
segment_287|Feel the expansion of the breath and as you breathe out,|Feel the expansion of the breath and as you breathe out,
segment_288|lift the back knee. Now with the back knee lifted, and of course you can always keep it lowered if that's better for you today.|lift the back knee. Now with the back knee lifted, and of course you can always keep it lowered if that's better for you today.
segment_289|We'll again, inhale, sweep the arms all the way up and overhead.|We'll again, inhale, sweep the arms all the way up and overhead.
segment_290|big expansive breath here and then exhale, bring it back down to the earth.|big expansive breath here and then exhale, bring it back down to the earth.
segment_291|Lovely, plant the palms here, step the left toes back. We have our first plank pose here together today.|Lovely, plant the palms here, step the left toes back. We have our first plank pose here together today.
segment_292|Lengthen through the crown. Listen to the sound of your breath.|Lengthen through the crown. Listen to the sound of your breath.
segment_293|Downward facing dog, inhale in deeply here.|Downward facing dog, inhale in deeply here.
segment_294|When you're ready, step the right foot up into the lunge, lower the left knee to the ground.|When you're ready, step the right foot up into the lunge, lower the left knee to the ground.
segment_295|Move with your breath, inhale, sweep the arms up and overhead.|Move with your breath, inhale, sweep the arms up and overhead.
segment_296|Feel the stretch in that back foot as you reach the left heel towards the back edge of your mat. We inhale, sweep the arms all the way up and overhead, following the breath.|Feel the stretch in that back foot as you reach the left heel towards the back edge of your mat. We inhale, sweep the arms all the way up and overhead, following the breath.
segment_297|Reaching forward with the crown of the head, reaching back with the heels. Listen to the sound of your breath.|Reaching forward with the crown of the head, reaching back with the heels. Listen to the sound of your breath.
segment_298|Then you can take a chaturanga here or you can lower the knees and gently bring the belly to the earth.|Then you can take a chaturanga here or you can lower the knees and gently bring the belly to the earth.
segment_299|Take a gentle back bend here so baby cobra might lift you up.|Take a gentle back bend here so baby cobra might lift you up.
segment_300|Curl the toes under, press up to plank or all fours.|Curl the toes under, press up to plank or all fours.
segment_301|and then send the hips up high and back, Downward Facing Dog.|and then send the hips up high and back, Downward Facing Dog.
segment_302|bend the knees carve a line with the nose to look forward and make your way to the top of the mat you can do the crisscross steps again or you can hop|bend the knees carve a line with the nose to look forward and make your way to the top of the mat you can do the crisscross steps again or you can hop
segment_303|Root to rise here, ground through the feet, inhale, reach all the way up towards the sky.|Root to rise here, ground through the feet, inhale, reach all the way up towards the sky.
segment_304|Fingertips come to the mat, step the right toes back, lower the right knee.|Fingertips come to the mat, step the right toes back, lower the right knee.
segment_305|Back knee lifts again. Here we go. Inhale, high lunge.|Back knee lifts again. Here we go. Inhale, high lunge.
segment_306|Plant the palms. Step the left foot back. Plank pose. Listen to the sound of your breath here.|Plant the palms. Step the left foot back. Plank pose. Listen to the sound of your breath here.
segment_307|And on your next exhale, send the hips up high and back.|And on your next exhale, send the hips up high and back.
segment_308|On your next inhale, step the right leg up into the lunge.|On your next inhale, step the right leg up into the lunge.
segment_309|Lift the back knee, reach the back heel. Inhale, arms sweep up, high lunge.|Lift the back knee, reach the back heel. Inhale, arms sweep up, high lunge.
segment_310|Palms to the mat, step it back, plank, listen to the sound of your breath.|Palms to the mat, step it back, plank, listen to the sound of your breath.
segment_311|And then belly to cobra here or chaturanga to upward facing dog.|And then belly to cobra here or chaturanga to upward facing dog.
segment_312|Exhale, make your way to the top. This time, option to bring your feet together, really together, or if the|Exhale, make your way to the top. This time, option to bring your feet together, really together, or if the
segment_313|So just nice conscious footing is essentially what I'm inviting in.|So just nice conscious footing is essentially what I'm inviting in.
segment_314|Root to rise here, inhale, reach for the sky.|Root to rise here, inhale, reach for the sky.
segment_315|Feel your feet on the ground, soften your gaze or close your eyes so you can really bring your attention inward.|Feel your feet on the ground, soften your gaze or close your eyes so you can really bring your attention inward.
segment_316|We'll find a soft bend in the knees so that we can step the left foot back.|We'll find a soft bend in the knees so that we can step the left foot back.
segment_317|And when you're ready, take the fingertips all the way up.|And when you're ready, take the fingertips all the way up.
segment_318|Breathe in and as you exhale, open up into a Warrior II.|Breathe in and as you exhale, open up into a Warrior II.
segment_319|Keep the front knee bent as we inhale, reach the right arm forward, up and back, big stretch here.|Keep the front knee bent as we inhale, reach the right arm forward, up and back, big stretch here.
segment_320|As you exhale, right elbow comes to the top of the right thigh.|As you exhale, right elbow comes to the top of the right thigh.
segment_321|and left fingertips sweep all the way up and maybe over.|and left fingertips sweep all the way up and maybe over.
segment_322|And then slowly ground through the back foot, press into your front foot to come back to Warrior II.|And then slowly ground through the back foot, press into your front foot to come back to Warrior II.
segment_323|Straighten the front leg and we're gonna take it to the other side by turning the right toes in.|Straighten the front leg and we're gonna take it to the other side by turning the right toes in.
segment_324|Deep bend in that left knee, find your Virabhadrasana II on this side.|Deep bend in that left knee, find your Virabhadrasana II on this side.
segment_325|We inhale, we'll send the left fingertips all the way up and back.|We inhale, we'll send the left fingertips all the way up and back.
segment_326|all the way up and over. Big stretch here from the outer edge of the right.|all the way up and over. Big stretch here from the outer edge of the right.
segment_327|and then ground through that back foot, press into the front foot, come all the way back up, Warrior II.|and then ground through that back foot, press into the front foot, come all the way back up, Warrior II.
segment_328|Inhale, lift the sternum, bring the palms together, lift the sternum to the thumbs and take a second here.|Inhale, lift the sternum, bring the palms together, lift the sternum to the thumbs and take a second here.
segment_329|The soles of your feet, notice where the weight is distributing.|The soles of your feet, notice where the weight is distributing.
segment_330|Can you ground down through the ball joint of the big toe?|Can you ground down through the ball joint of the big toe?
segment_331|the ball joint of the pinky toe and the back two corners of the heels here.|the ball joint of the pinky toe and the back two corners of the heels here.
segment_332|So lengthening through the crown of the head here, maybe you can get to this flat back position.|So lengthening through the crown of the head here, maybe you can get to this flat back position.
segment_333|Maybe you find it's more helpful to have your hands on the tops of the thighs or the waist.|Maybe you find it's more helpful to have your hands on the tops of the thighs or the waist.
segment_334|Breathe out as you exhale, ground through the feet and come all the way back up.|Breathe out as you exhale, ground through the feet and come all the way back up.
segment_335|So we're gonna go down again. Maybe this time your hands come to blocks or to the earth.|So we're gonna go down again. Maybe this time your hands come to blocks or to the earth.
segment_336|Find what feels good, standing wide-legged Forward Fold.|Find what feels good, standing wide-legged Forward Fold.
segment_337|Inhale in, use your next exhale to ground through those active feet and slowly come all the way up.|Inhale in, use your next exhale to ground through those active feet and slowly come all the way up.
segment_338|We'll do this one more time. Inhale, lift the chest.|We'll do this one more time. Inhale, lift the chest.
segment_339|Dives forward gently, palms come to.|Dives forward gently, palms come to.
segment_340|And if you're ready to progress here a little bit, you can slowly begin to walk the hands in line with the feet.|And if you're ready to progress here a little bit, you can slowly begin to walk the hands in line with the feet.
segment_341|You gotta bring the breaths, nice smooth breath here.|You gotta bring the breaths, nice smooth breath here.
segment_342|Maybe the crown of the head reaches towards the ground.|Maybe the crown of the head reaches towards the ground.
segment_343|Inhale in deeply, use your next exhale to slowly|Inhale in deeply, use your next exhale to slowly
segment_344|Soft bend in the knees, hands to heart, we rise up together.|Soft bend in the knees, hands to heart, we rise up together.
segment_345|Nice work. Turn the right toes towards the front edge of the mat.|Nice work. Turn the right toes towards the front edge of the mat.
segment_346|Bend the knees and as many steps as it takes just to bring that left foot back up.|Bend the knees and as many steps as it takes just to bring that left foot back up.
segment_347|When you're there, inhale, reach up towards the sky. Big stretch, big breath.|When you're there, inhale, reach up towards the sky. Big stretch, big breath.
segment_348|Exhale, wiggle the fingertips and rein it all the way down into your fold.|Exhale, wiggle the fingertips and rein it all the way down into your fold.
segment_349|Exhale to soften and release.|Exhale to soften and release.
segment_350|Fingertips come to the mat here, and we're going to walk the...|Fingertips come to the mat here, and we're going to walk the...
segment_351|Feet as wide as the mat and turn the toes out now just to spill off.|Feet as wide as the mat and turn the toes out now just to spill off.
segment_352|but move at a nice slow tempo as we inhale in deeply. Exhale, active legs here, we're gonna slowly come down.|but move at a nice slow tempo as we inhale in deeply. Exhale, active legs here, we're gonna slowly come down.
segment_353|So you can grab a block here and put it underneath the bum if that feels nice and supportive.|So you can grab a block here and put it underneath the bum if that feels nice and supportive.
segment_354|You can keep your hands on the earth or we can bring the palms together.|You can keep your hands on the earth or we can bring the palms together.
segment_355|But take a moment here to really ground through your feet.|But take a moment here to really ground through your feet.
segment_356|And especially if you've come into this asana before, see if you can really|And especially if you've come into this asana before, see if you can really
segment_357|Find that yielding that we often talk about.|Find that yielding that we often talk about.
segment_358|of just lifting up maybe half an inch in this shape.|of just lifting up maybe half an inch in this shape.
segment_359|so that you're not just in a complete surrender of the weight of gravity.|so that you're not just in a complete surrender of the weight of gravity.
segment_360|Beautiful, inhale in, everyone, wherever you are. Whoo, and then gently|Beautiful, inhale in, everyone, wherever you are. Whoo, and then gently
segment_361|very gently swim the fingertips behind you.|very gently swim the fingertips behind you.
segment_362|land your booty on the ground and guess what? We're coming all the way down to our backs.|land your booty on the ground and guess what? We're coming all the way down to our backs.
segment_363|Go ahead and situate yourself so that you can extend the legs out long and be comfortable.|Go ahead and situate yourself so that you can extend the legs out long and be comfortable.
segment_364|And when you're ready, we'll bend both knees, bring the soles of the feet to the mat.|And when you're ready, we'll bend both knees, bring the soles of the feet to the mat.
segment_365|And then on your next breath, kick the right leg, just the right leg up.|And then on your next breath, kick the right leg, just the right leg up.
segment_366|Now this is gonna look and feel a little different for everyone.|Now this is gonna look and feel a little different for everyone.
segment_367|So if the knee is bent here or wherever, whatever you can do to get that foot up.|So if the knee is bent here or wherever, whatever you can do to get that foot up.
segment_368|somewhere else. Use the foundation of your left foot to support you.|somewhere else. Use the foundation of your left foot to support you.
segment_369|You'll interlace the fingertips behind the thigh.|You'll interlace the fingertips behind the thigh.
segment_370|And then when you feel like you found your position today, return to your breath.|And then when you feel like you found your position today, return to your breath.
segment_371|And then if you'd like, before we switch, you can extend the left leg out long, just an option.|And then if you'd like, before we switch, you can extend the left leg out long, just an option.
segment_372|And let's all press into both heels, flex your feet.|And let's all press into both heels, flex your feet.
segment_373|leg up. Now I'd love for you to just take a moment here.|leg up. Now I'd love for you to just take a moment here.
segment_374|And notice if this leg, this hamstring, this foot feels...|And notice if this leg, this hamstring, this foot feels...
segment_375|I'm just staying curious when you're ready you might find a little bind behind the hamstring.|I'm just staying curious when you're ready you might find a little bind behind the hamstring.
segment_376|Make our way back to the breath and find some gentle rotation in the left ankle.|Make our way back to the breath and find some gentle rotation in the left ankle.
segment_377|and then release the left foot to the ground bring both feet back to the ground press the palms|and then release the left foot to the ground bring both feet back to the ground press the palms
segment_378|into the earth inhale in toes pointing forward exhale ground through all four corners of the feet as you begin to slowly gently|into the earth inhale in toes pointing forward exhale ground through all four corners of the feet as you begin to slowly gently
segment_379|then one vertebra at a time slowly lifting up into|then one vertebra at a time slowly lifting up into
segment_380|a bridge posture here, hip points lift.|a bridge posture here, hip points lift.
segment_381|And then exhale, slowly release.|And then exhale, slowly release.
segment_382|When you're ready, gently hug the knees into the chest.|When you're ready, gently hug the knees into the chest.
segment_383|You can take a twist here if it feels good, knees gently moving left to right.|You can take a twist here if it feels good, knees gently moving left to right.
segment_384|or maybe you'd like to finish with a happy baby grabbing the outer edges of the feet.|or maybe you'd like to finish with a happy baby grabbing the outer edges of the feet.
segment_385|And today I'd like to invite us to actually walk the legs out a little bit wider, only if it feels right in your body, comfortable in your body, and the arms too.|And today I'd like to invite us to actually walk the legs out a little bit wider, only if it feels right in your body, comfortable in your body, and the arms too.
segment_386|Coming into our final posture where we will|Coming into our final posture where we will
segment_387|Finding surrender, a moment of stillness.|Finding surrender, a moment of stillness.
segment_388|Adjust and find a shape in your body where you feel|Adjust and find a shape in your body where you feel
segment_389|Enough to give this next beat, this final beat of our practice.|Enough to give this next beat, this final beat of our practice.
segment_390|Get comfortable, we will enter into|Get comfortable, we will enter into
segment_391|Together as a community, we'll take a deep, full breath in here.|Together as a community, we'll take a deep, full breath in here.
segment_392|Good, and as you exhale here, allow the weight of your body everything.|Good, and as you exhale here, allow the weight of your body everything.
segment_393|And from here, just allow your natural breath.|And from here, just allow your natural breath.
segment_394|allowing your hips and your pelvis to relax.|allowing your hips and your pelvis to relax.
segment_395|our sweet bellies to soften and lovingly relax.|our sweet bellies to soften and lovingly relax.
segment_396|and your entire heart space to relax.|and your entire heart space to relax.
segment_397|allowing the shoulders, the arms.|allowing the shoulders, the arms.
segment_398|the wrists and the hands to soften and relax.|the wrists and the hands to soften and relax.
segment_399|loving quiet moment here in stillness.|loving quiet moment here in stillness.
segment_400|And then slowly, slowly, so slowly begin to wiggle the fingers and the toes.|And then slowly, slowly, so slowly begin to wiggle the fingers and the toes.
segment_401|Slowly, gently, lovingly walk your feet in closer towards each other.|Slowly, gently, lovingly walk your feet in closer towards each other.
segment_402|Bring the feet to the earth and let's turn to one side, your choice, any side. Coming through a fetal position here, take a beat.|Bring the feet to the earth and let's turn to one side, your choice, any side. Coming through a fetal position here, take a beat.
segment_403|And thank you guys for joining us. Appreciate you sharing your valuable time.|And thank you guys for joining us. Appreciate you sharing your valuable time.
segment_404|What's up everyone? Welcome to Yoga with Adriene. I'm Adriene, this is sweet Benji here for us today.|What's up everyone? Welcome to Yoga with Adriene. I'm Adriene, this is sweet Benji here for us today.
segment_405|And we need this as a reminder that we are not alone.|And we need this as a reminder that we are not alone.
segment_406|It's just so helpful to remember that practices like yoga can really help bring us back to our center.|It's just so helpful to remember that practices like yoga can really help bring us back to our center.
segment_407|and also just realize that we're not the only ones who are spiraling sometimes, right?|and also just realize that we're not the only ones who are spiraling sometimes, right?
segment_408|Okie dokie, my darling friends. Thank you so much for being here and for taking|Okie dokie, my darling friends. Thank you so much for being here and for taking
segment_409|Because we all know taking that time, even though it can be really difficult,|Because we all know taking that time, even though it can be really difficult,
segment_410|It can affect all of your relationships and your relationship to what's going on in the world, which could be really challenging.|It can affect all of your relationships and your relationship to what's going on in the world, which could be really challenging.
segment_411|So come on down to the ground, we're gonna ease into this baby.|So come on down to the ground, we're gonna ease into this baby.
segment_412|We're going to do a little tuning in here, use pranayama, the breath work.|We're going to do a little tuning in here, use pranayama, the breath work.
segment_413|because it's so powerful. Then we'll get a little stretch in with a little moving meditation and then we'll soften it down with some floor work.|because it's so powerful. Then we'll get a little stretch in with a little moving meditation and then we'll soften it down with some floor work.
segment_414|And I really would just like to invite you and myself|And I really would just like to invite you and myself
segment_415|to just take this time, this little bit of time on your mat.|to just take this time, this little bit of time on your mat.
segment_416|and to be with whatever sensation or whatever feeling whatever's going on|and to be with whatever sensation or whatever feeling whatever's going on
segment_417|might be helpful to soften your gaze or close your eyes here.|might be helpful to soften your gaze or close your eyes here.
segment_418|Bring our outer awareness.|Bring our outer awareness.
segment_419|And just starting with an awareness of the spine. So if you notice right away, it just feels dang impossible to sit up.|And just starting with an awareness of the spine. So if you notice right away, it just feels dang impossible to sit up.
segment_420|tightness, or even just an energetic tension in this practice, just remember it's okay.|tightness, or even just an energetic tension in this practice, just remember it's okay.
segment_421|Let's stick with the practice and see if we can process and move through.|Let's stick with the practice and see if we can process and move through.
segment_422|Hands can rest gently wherever feels right for you.|Hands can rest gently wherever feels right for you.
segment_423|And then when you feel like you've settled in a bit physically,|And then when you feel like you've settled in a bit physically,
segment_424|A long, tall spine, hands resting easy.|A long, tall spine, hands resting easy.
segment_425|what your breath feels like today. You don't have to alter it or change it.|what your breath feels like today. You don't have to alter it or change it.
segment_426|Let's stay focused here, just bringing...|Let's stay focused here, just bringing...
segment_427|try to stay focused here as we add some gentle movement in the neck so|try to stay focused here as we add some gentle movement in the neck so
segment_428|feels good for you here so you can improvise.|feels good for you here so you can improvise.
segment_429|But I'll offer some guidance as well. So maybe beginning with a nod.|But I'll offer some guidance as well. So maybe beginning with a nod.
segment_430|And then I just want to offer you some quiet time here, so just a couple beats here to find some gentle circles.|And then I just want to offer you some quiet time here, so just a couple beats here to find some gentle circles.
segment_431|To center, bat the eyelashes open.|To center, bat the eyelashes open.
segment_432|called Nadi Shodhana. Now many of you are familiar with alternate nostril breathing, but just in case if this is a new technique for you, I will|called Nadi Shodhana. Now many of you are familiar with alternate nostril breathing, but just in case if this is a new technique for you, I will
segment_433|ease into the session so you don't have to like nail it right away you can just kind of|ease into the session so you don't have to like nail it right away you can just kind of
segment_434|As feels right for you. Sometimes I feel like we're so focused on getting pranayama technique right that we kind of miss the opportunity to be in.|As feels right for you. Sometimes I feel like we're so focused on getting pranayama technique right that we kind of miss the opportunity to be in.
segment_435|So maybe we just keep that in mind, gentle lift in the heart.|So maybe we just keep that in mind, gentle lift in the heart.
segment_436|We'll take your dominant hand and we're going to seal the left nostril.|We'll take your dominant hand and we're going to seal the left nostril.
segment_437|with the pinky finger or the ring finger, whatever feels best for you today.|with the pinky finger or the ring finger, whatever feels best for you today.
segment_438|Seal the left nostril. This allows you to breathe in through the right nostril. Let's do it.|Seal the left nostril. This allows you to breathe in through the right nostril. Let's do it.
segment_439|After you've taken an inhale in through the right nostril, we pause at the top. We call this breath retention. We're going to retain the breath at the top.|After you've taken an inhale in through the right nostril, we pause at the top. We call this breath retention. We're going to retain the breath at the top.
segment_440|We're going to switch and seal the other nostrils, so now your right nostril is sealed with the thumb.|We're going to switch and seal the other nostrils, so now your right nostril is sealed with the thumb.
segment_441|We switch and seal the other side and breathe out.|We switch and seal the other side and breathe out.
segment_442|We switch and seal and exhale through the left.|We switch and seal and exhale through the left.
segment_443|Inhale, slow, calming breath in through the left.|Inhale, slow, calming breath in through the left.
segment_444|Nice gentle switch and seal and exhale through the right.|Nice gentle switch and seal and exhale through the right.
segment_445|And after you finish your cycle, just release the palms.|And after you finish your cycle, just release the palms.
segment_446|Some days I have to ask myself, is this mine to carry in this moment?|Some days I have to ask myself, is this mine to carry in this moment?
segment_447|Or do I need to reconnect to my center first?|Or do I need to reconnect to my center first?
segment_448|It's not one or the other, there's no ultimatum. Bat the eyelashes open.|It's not one or the other, there's no ultimatum. Bat the eyelashes open.
segment_449|Let's take a big stretch. Fingertips reach all the way up towards the sky, nice and slow.|Let's take a big stretch. Fingertips reach all the way up towards the sky, nice and slow.
segment_450|And then exhale, press the palms down.|And then exhale, press the palms down.
segment_451|So think about this next section of our practice like a moving meditation.|So think about this next section of our practice like a moving meditation.
segment_452|See if you can keep your focus on the breath and the quality of your movement, the feeling of the sensations in your heart.|See if you can keep your focus on the breath and the quality of your movement, the feeling of the sensations in your heart.
segment_453|In today's practice, we're just giving ourselves this time.|In today's practice, we're just giving ourselves this time.
segment_454|because it's inevitable. Let's do one more big reach up to the sky.|because it's inevitable. Let's do one more big reach up to the sky.
segment_455|Let's bring the left hand to the earth. Right fingertips are going to go behind the right ear.|Let's bring the left hand to the earth. Right fingertips are going to go behind the right ear.
segment_456|Right hip crease gets really heavy as you find a side body stretch here.|Right hip crease gets really heavy as you find a side body stretch here.
segment_457|And then slowly floating it back to the center line and left fingertips.|And then slowly floating it back to the center line and left fingertips.
segment_458|And we reach, reach, reach, finding our side body stretch.|And we reach, reach, reach, finding our side body stretch.
segment_459|can keep a soft gaze here. Even the eyes can stay closed gently as you listen to the sound of my voice.|can keep a soft gaze here. Even the eyes can stay closed gently as you listen to the sound of my voice.
segment_460|We'll come to all fours, Tabletop Position.|We'll come to all fours, Tabletop Position.
segment_461|You can pad the knees with the blanket if it feels good today.|You can pad the knees with the blanket if it feels good today.
segment_462|And we'll move into Cat-Cow, dropping the belly as you breathe in.|And we'll move into Cat-Cow, dropping the belly as you breathe in.
segment_463|And for a couple rounds, just focus on the sensation of your hands, the palm.|And for a couple rounds, just focus on the sensation of your hands, the palm.
segment_464|On your next inhale, bring it to tabletop position, walk the palms out.|On your next inhale, bring it to tabletop position, walk the palms out.
segment_465|Curl the toes under and slowly, very slowly, peel the tailbone up.|Curl the toes under and slowly, very slowly, peel the tailbone up.
segment_466|And now bring your awareness back to your hands.|And now bring your awareness back to your hands.
segment_467|find that hand-to-earth connection that we really celebrate and honor.|find that hand-to-earth connection that we really celebrate and honor.
segment_468|Pedal it out by bending one knee and then the other.|Pedal it out by bending one knee and then the other.
segment_469|And then when you're ready, anchor through your left heel. Inhale, lift your right leg up high, Three-Legged Dog. Press into both palms evenly.|And then when you're ready, anchor through your left heel. Inhale, lift your right leg up high, Three-Legged Dog. Press into both palms evenly.
segment_470|And on your exhale, slowly take your heart forward, lift your right.|And on your exhale, slowly take your heart forward, lift your right.
segment_471|Foot all the way up, lower the back knee, we come into a lunge.|Foot all the way up, lower the back knee, we come into a lunge.
segment_472|Now lifting up through our tender heart space, reach the fingertips forward, up and back.|Now lifting up through our tender heart space, reach the fingertips forward, up and back.
segment_473|Back foot can stay curled under or you can release.|Back foot can stay curled under or you can release.
segment_474|Find a softness in your fingertips here. It helps for me to wiggle the fingertips a little bit.|Find a softness in your fingertips here. It helps for me to wiggle the fingertips a little bit.
segment_475|Take one more breath here, maybe you send your gaze upward.|Take one more breath here, maybe you send your gaze upward.
segment_476|And then exhale, wiggle the fingertips, bring it down, plant the palms and step it.|And then exhale, wiggle the fingertips, bring it down, plant the palms and step it.
segment_477|sending that left foot up, lowering the right knee to the ground.|sending that left foot up, lowering the right knee to the ground.
segment_478|When you're ready, sweeping the arms all the way up, Anjaneyasana.|When you're ready, sweeping the arms all the way up, Anjaneyasana.
segment_479|Collecting the sensations, maybe hugging into the midline.|Collecting the sensations, maybe hugging into the midline.
segment_480|On your next inhale, maybe carving a line with your nose up towards the sky.|On your next inhale, maybe carving a line with your nose up towards the sky.
segment_481|And exhale, take it back, Downward Facing Dog.|And exhale, take it back, Downward Facing Dog.
segment_482|Find your foundation, inhale, sweep the arms up.|Find your foundation, inhale, sweep the arms up.
segment_483|Step it back, Downward Facing Dog. And on your next inhale, lift the left leg up high.|Step it back, Downward Facing Dog. And on your next inhale, lift the left leg up high.
segment_484|Moving with your breath, you got this. Inhale, reach the arms up.|Moving with your breath, you got this. Inhale, reach the arms up.
segment_485|Few less cues, moving with your breath, here we go, inhale.|Few less cues, moving with your breath, here we go, inhale.
segment_486|Step it back, inhale, Downward Facing Dog.|Step it back, inhale, Downward Facing Dog.
segment_487|And when you're ready, send the hips back. So actually, I'm gonna give you a choice. So you can bring the knee, always choice.|And when you're ready, send the hips back. So actually, I'm gonna give you a choice. So you can bring the knee, always choice.
segment_488|And in your child's pose, just take a moment.|And in your child's pose, just take a moment.
segment_489|to just notice how you feel. You don't have to do anything.|to just notice how you feel. You don't have to do anything.
segment_490|And then when you're ready, we're gonna transition onto our backs, so.|And then when you're ready, we're gonna transition onto our backs, so.
segment_491|Nice and slow again, being soft, as soft as you can.|Nice and slow again, being soft, as soft as you can.
segment_492|And when you get there, hugging the knees into the chest.|And when you get there, hugging the knees into the chest.
segment_493|So I love the word here, hug, hugging yourself.|So I love the word here, hug, hugging yourself.
segment_494|Hug your shoulders and just allow the knees to come up.|Hug your shoulders and just allow the knees to come up.
segment_495|And you're going to send your arms to cactus arms or nice and wide to a T.|And you're going to send your arms to cactus arms or nice and wide to a T.
segment_496|Maybe the right hand comes to the outer edge of the left.|Maybe the right hand comes to the outer edge of the left.
segment_497|Finding that stretch in the left waist, left low back.|Finding that stretch in the left waist, left low back.
segment_498|I feel like I've been doing so much research lately and not to mention.|I feel like I've been doing so much research lately and not to mention.
segment_499|And between those two things, I have to use, I really appreciate rather.|And between those two things, I have to use, I really appreciate rather.
segment_500|Celebrate my practice as an opportunity to come back to that interior.|Celebrate my practice as an opportunity to come back to that interior.
segment_501|Give the knees one more quick little snuggle, little hug.|Give the knees one more quick little snuggle, little hug.
segment_502|Allow your arms to rest gently by your side, or if it feels better to bring the palms, the hands somewhere on your body.|Allow your arms to rest gently by your side, or if it feels better to bring the palms, the hands somewhere on your body.
segment_503|Let's take a big, nice, loving inhale in together.|Let's take a big, nice, loving inhale in together.
segment_504|and a long slow exhale out together as you relax the weight of your body.|and a long slow exhale out together as you relax the weight of your body.
segment_505|Like, can I... I may not be able to maintain this for long, maybe today, but...|Like, can I... I may not be able to maintain this for long, maybe today, but...
segment_506|And as you're ready, bring the palms together and we're going to bring the thumbs.|And as you're ready, bring the palms together and we're going to bring the thumbs.
segment_507|about the flash of surrender, I just want to say it gets easier with practice.|about the flash of surrender, I just want to say it gets easier with practice.
segment_508|kind of fun and blissful to capture these moments of surrender where you're like wow I didn't know I could do that.|kind of fun and blissful to capture these moments of surrender where you're like wow I didn't know I could do that.
segment_509|So thank you for practicing with me and with everyone else who's sharing in this practice in this moment.|So thank you for practicing with me and with everyone else who's sharing in this practice in this moment.
segment_510|And we'll close this session with one final inhale of lots of love in...|And we'll close this session with one final inhale of lots of love in...
segment_511|And exhale, lots of love out. Thanks, everyone.|And exhale, lots of love out. Thanks, everyone.
